nohup: 忽略输入
2023-08-01 09:57:39.995945: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-08-01 09:57:40.856128: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
pygame 2.3.0 (SDL 2.24.2, Python 3.8.16)
Hello from the pygame community. https://www.pygame.org/contribute.html
beta_decay:  False
action_n:4
[3 6 6]
256
default
<class 'replays.default_replay.DefaultReplay'>
Random Seed: 666
Exp: obstacle_default	Episode: 62	Step: 18k	Slot Step: 18k	Reward: 0	Replay: 18098/50000 	Epsilon: 0.8805532000005838 	Epi_step: 360 	Epi_Time: 4.9328293800354 	
Exp: obstacle_default	Episode: 63	Step: 18k	Slot Step: 18k	Reward: 0	Replay: 18458/50000 	Epsilon: 0.8781772000005954 	Epi_step: 360 	Epi_Time: 5.0234057903289795 	
Exp: obstacle_default	Episode: 64	Step: 18k	Slot Step: 18k	Reward: 0.35	Replay: 18717/50000 	Epsilon: 0.8764678000006038 	Epi_step: 259 	Epi_Time: 3.624507427215576 	
Exp: obstacle_default	Episode: 65	Step: 19k	Slot Step: 19k	Reward: 0	Replay: 19077/50000 	Epsilon: 0.8740918000006154 	Epi_step: 360 	Epi_Time: 4.991715669631958 	
Exp: obstacle_default	Episode: 66	Step: 19k	Slot Step: 19k	Reward: 0.38	Replay: 19326/50000 	Epsilon: 0.8724484000006234 	Epi_step: 249 	Epi_Time: 3.5067296028137207 	
Exp: obstacle_default	Episode: 67	Step: 19k	Slot Step: 19k	Reward: 0	Replay: 19686/50000 	Epsilon: 0.870072400000635 	Epi_step: 360 	Epi_Time: 5.027881383895874 	
Exp: obstacle_default	Episode: 68	Step: 19k	Slot Step: 19k	Reward: 0.36	Replay: 19940/50000 	Epsilon: 0.8683960000006432 	Epi_step: 254 	Epi_Time: 3.5554137229919434 	
Exp: obstacle_default	Episode: 69	Step: 20k	Slot Step: 20k	Reward: 0.5	Replay: 20139/50000 	Epsilon: 0.8670826000006496 	Epi_step: 199 	Epi_Time: 2.7914319038391113 	
Exp: obstacle_default	Episode: 70	Step: 20k	Slot Step: 20k	Reward: 0	Replay: 20499/50000 	Epsilon: 0.8647066000006612 	Epi_step: 360 	Epi_Time: 5.396958351135254 	
Exp: obstacle_default	Episode: 71	Step: 20k	Slot Step: 20k	Reward: 0.41	Replay: 20736/50000 	Epsilon: 0.8631424000006689 	Epi_step: 237 	Epi_Time: 3.324840545654297 	
Exp: obstacle_default	Episode: 72	Step: 21k	Slot Step: 21k	Reward: 0	Replay: 21096/50000 	Epsilon: 0.8607664000006805 	Epi_step: 360 	Epi_Time: 6.246351718902588 	
Exp: obstacle_default	Episode: 73	Step: 21k	Slot Step: 21k	Reward: 0.44	Replay: 21321/50000 	Epsilon: 0.8592814000006878 	Epi_step: 225 	Epi_Time: 3.484471082687378 	
Exp: obstacle_default	Episode: 74	Step: 21k	Slot Step: 21k	Reward: 0	Replay: 21681/50000 	Epsilon: 0.8569054000006994 	Epi_step: 360 	Epi_Time: 4.593370676040649 	
Exp: obstacle_default	Episode: 75	Step: 21k	Slot Step: 21k	Reward: 0.22	Replay: 21993/50000 	Epsilon: 0.8548462000007094 	Epi_step: 312 	Epi_Time: 5.417316198348999 	
Exp: obstacle_default	Episode: 76	Step: 22k	Slot Step: 22k	Reward: 0	Replay: 22353/50000 	Epsilon: 0.852470200000721 	Epi_step: 360 	Epi_Time: 5.1813013553619385 	
Exp: obstacle_default	Episode: 77	Step: 22k	Slot Step: 22k	Reward: 0.77	Replay: 22446/50000 	Epsilon: 0.851856400000724 	Epi_step: 93 	Epi_Time: 1.330240249633789 	
Exp: obstacle_default	Episode: 78	Step: 22k	Slot Step: 22k	Reward: 0	Replay: 22806/50000 	Epsilon: 0.8494804000007357 	Epi_step: 360 	Epi_Time: 7.171995401382446 	
Exp: obstacle_default	Episode: 79	Step: 23k	Slot Step: 23k	Reward: 0	Replay: 23166/50000 	Epsilon: 0.8471044000007473 	Epi_step: 360 	Epi_Time: 5.286864757537842 	
Exp: obstacle_default	Episode: 80	Step: 23k	Slot Step: 23k	Reward: 0	Replay: 23526/50000 	Epsilon: 0.8447284000007589 	Epi_step: 360 	Epi_Time: 6.557209491729736 	
Exp: obstacle_default	Episode: 81	Step: 23k	Slot Step: 23k	Reward: 0	Replay: 23886/50000 	Epsilon: 0.8423524000007705 	Epi_step: 360 	Epi_Time: 5.388131618499756 	
Exp: obstacle_default	Episode: 82	Step: 24k	Slot Step: 24k	Reward: 0.46	Replay: 24104/50000 	Epsilon: 0.8409136000007775 	Epi_step: 218 	Epi_Time: 3.1589877605438232 	
Exp: obstacle_default	Episode: 83	Step: 24k	Slot Step: 24k	Reward: 0.27	Replay: 24398/50000 	Epsilon: 0.838973200000787 	Epi_step: 294 	Epi_Time: 4.229462623596191 	
Exp: obstacle_default	Episode: 84	Step: 24k	Slot Step: 24k	Reward: 0.92	Replay: 24432/50000 	Epsilon: 0.8387488000007881 	Epi_step: 34 	Epi_Time: 0.4846456050872803 	
Exp: obstacle_default	Episode: 85	Step: 24k	Slot Step: 24k	Reward: 0.68	Replay: 24559/50000 	Epsilon: 0.8379106000007922 	Epi_step: 127 	Epi_Time: 1.8203272819519043 	
Exp: obstacle_default	Episode: 86	Step: 24k	Slot Step: 24k	Reward: 0	Replay: 24919/50000 	Epsilon: 0.8355346000008038 	Epi_step: 360 	Epi_Time: 5.139448404312134 	
Exp: obstacle_default	Episode: 87	Step: 25k	Slot Step: 25k	Reward: 0.12	Replay: 25272/50000 	Epsilon: 0.8332048000008152 	Epi_step: 353 	Epi_Time: 5.097673416137695 	
Exp: obstacle_default	Episode: 88	Step: 25k	Slot Step: 25k	Reward: 0.42	Replay: 25504/50000 	Epsilon: 0.8316736000008227 	Epi_step: 232 	Epi_Time: 3.383673906326294 	
Exp: obstacle_default	Episode: 89	Step: 25k	Slot Step: 25k	Reward: 0.6	Replay: 25665/50000 	Epsilon: 0.8306110000008279 	Epi_step: 161 	Epi_Time: 2.548938751220703 	
Exp: obstacle_default	Episode: 90	Step: 25k	Slot Step: 25k	Reward: 0.62	Replay: 25815/50000 	Epsilon: 0.8296210000008327 	Epi_step: 150 	Epi_Time: 2.140634536743164 	
Exp: obstacle_default	Episode: 91	Step: 25k	Slot Step: 25k	Reward: 0.68	Replay: 25943/50000 	Epsilon: 0.8287762000008368 	Epi_step: 128 	Epi_Time: 1.8233258724212646 	
Exp: obstacle_default	Episode: 92	Step: 26k	Slot Step: 26k	Reward: 0.76	Replay: 26040/50000 	Epsilon: 0.82813600000084 	Epi_step: 97 	Epi_Time: 1.4055206775665283 	
Exp: obstacle_default	Episode: 93	Step: 26k	Slot Step: 26k	Reward: 0.71	Replay: 26155/50000 	Epsilon: 0.8273770000008437 	Epi_step: 115 	Epi_Time: 1.6556227207183838 	
Exp: obstacle_default	Episode: 94	Step: 26k	Slot Step: 26k	Reward: 0	Replay: 26515/50000 	Epsilon: 0.8250010000008553 	Epi_step: 360 	Epi_Time: 5.2001447677612305 	
Exp: obstacle_default	Episode: 95	Step: 26k	Slot Step: 26k	Reward: 0.61	Replay: 26672/50000 	Epsilon: 0.8239648000008604 	Epi_step: 157 	Epi_Time: 2.2069716453552246 	
Exp: obstacle_default	Episode: 96	Step: 26k	Slot Step: 26k	Reward: 0.81	Replay: 26749/50000 	Epsilon: 0.8234566000008628 	Epi_step: 77 	Epi_Time: 1.1042215824127197 	
Exp: obstacle_default	Episode: 97	Step: 26k	Slot Step: 26k	Reward: 0.51	Replay: 26945/50000 	Epsilon: 0.8221630000008692 	Epi_step: 196 	Epi_Time: 2.6835365295410156 	
Exp: obstacle_default	Episode: 98	Step: 27k	Slot Step: 27k	Reward: 0.7	Replay: 27065/50000 	Epsilon: 0.821371000000873 	Epi_step: 120 	Epi_Time: 1.6586105823516846 	
Exp: obstacle_default	Episode: 99	Step: 27k	Slot Step: 27k	Reward: 0.54	Replay: 27248/50000 	Epsilon: 0.820163200000879 	Epi_step: 183 	Epi_Time: 3.362562656402588 	
Exp: obstacle_default	Episode: 100	Step: 27k	Slot Step: 27k	Reward: 0.61	Replay: 27405/50000 	Epsilon: 0.819127000000884 	Epi_step: 157 	Epi_Time: 3.0542004108428955 	
Exp: obstacle_default	Episode: 101	Step: 27k	Slot Step: 27k	Reward: 0.72	Replay: 27515/50000 	Epsilon: 0.8184010000008876 	Epi_step: 110 	Epi_Time: 1.7861289978027344 	
Exp: obstacle_default	Episode: 102	Step: 27k	Slot Step: 27k	Reward: 0.85	Replay: 27574/50000 	Epsilon: 0.8180116000008895 	Epi_step: 59 	Epi_Time: 1.0588836669921875 	
Exp: obstacle_default	Episode: 103	Step: 27k	Slot Step: 27k	Reward: 0.7	Replay: 27695/50000 	Epsilon: 0.8172130000008934 	Epi_step: 121 	Epi_Time: 1.6307573318481445 	
Exp: obstacle_default	Episode: 104	Step: 28k	Slot Step: 28k	Reward: 0.23	Replay: 28001/50000 	Epsilon: 0.8151934000009032 	Epi_step: 306 	Epi_Time: 4.153803586959839 	
Exp: obstacle_default	Episode: 105	Step: 28k	Slot Step: 28k	Reward: 0	Replay: 28361/50000 	Epsilon: 0.8128174000009148 	Epi_step: 360 	Epi_Time: 5.183562517166138 	
Exp: obstacle_default	Episode: 106	Step: 28k	Slot Step: 28k	Reward: 0.4	Replay: 28600/50000 	Epsilon: 0.8112400000009226 	Epi_step: 239 	Epi_Time: 3.478144407272339 	
Exp: obstacle_default	Episode: 107	Step: 28k	Slot Step: 28k	Reward: 0	Replay: 28960/50000 	Epsilon: 0.8088640000009342 	Epi_step: 360 	Epi_Time: 4.984619617462158 	
Exp: obstacle_default	Episode: 108	Step: 29k	Slot Step: 29k	Reward: 0.77	Replay: 29054/50000 	Epsilon: 0.8082436000009372 	Epi_step: 94 	Epi_Time: 1.3028581142425537 	
Exp: obstacle_default	Episode: 109	Step: 29k	Slot Step: 29k	Reward: 0.61	Replay: 29209/50000 	Epsilon: 0.8072206000009422 	Epi_step: 155 	Epi_Time: 2.1831276416778564 	
Exp: obstacle_default	Episode: 110	Step: 29k	Slot Step: 29k	Reward: 0.73	Replay: 29318/50000 	Epsilon: 0.8065012000009457 	Epi_step: 109 	Epi_Time: 1.5151939392089844 	
Exp: obstacle_default	Episode: 111	Step: 29k	Slot Step: 29k	Reward: 0.92	Replay: 29350/50000 	Epsilon: 0.8062900000009467 	Epi_step: 32 	Epi_Time: 0.445514440536499 	
Exp: obstacle_default	Episode: 112	Step: 29k	Slot Step: 29k	Reward: 0.88	Replay: 29397/50000 	Epsilon: 0.8059798000009483 	Epi_step: 47 	Epi_Time: 0.6483864784240723 	
Exp: obstacle_default	Episode: 113	Step: 29k	Slot Step: 29k	Reward: 0.84	Replay: 29459/50000 	Epsilon: 0.8055706000009503 	Epi_step: 62 	Epi_Time: 0.8646426200866699 	
Exp: obstacle_default	Episode: 114	Step: 29k	Slot Step: 29k	Reward: 0.71	Replay: 29576/50000 	Epsilon: 0.804798400000954 	Epi_step: 117 	Epi_Time: 1.6245434284210205 	
Exp: obstacle_default	Episode: 115	Step: 29k	Slot Step: 29k	Reward: 0.63	Replay: 29723/50000 	Epsilon: 0.8038282000009588 	Epi_step: 147 	Epi_Time: 2.0497019290924072 	
Exp: obstacle_default	Episode: 116	Step: 29k	Slot Step: 29k	Reward: 0.94	Replay: 29746/50000 	Epsilon: 0.8036764000009595 	Epi_step: 23 	Epi_Time: 0.3239462375640869 	
Exp: obstacle_default	Episode: 117	Step: 29k	Slot Step: 29k	Reward: 0.69	Replay: 29869/50000 	Epsilon: 0.8028646000009635 	Epi_step: 123 	Epi_Time: 2.029428720474243 	
Exp: obstacle_default	Episode: 118	Step: 30k	Slot Step: 30k	Reward: 0.66	Replay: 30006/50000 	Epsilon: 0.8019604000009679 	Epi_step: 137 	Epi_Time: 2.4665303230285645 	
Exp: obstacle_default	Episode: 119	Step: 30k	Slot Step: 30k	Reward: 0.43	Replay: 30232/50000 	Epsilon: 0.8004688000009752 	Epi_step: 226 	Epi_Time: 3.2585084438323975 	
Exp: obstacle_default	Episode: 120	Step: 30k	Slot Step: 30k	Reward: 0.51	Replay: 30428/50000 	Epsilon: 0.7991752000009815 	Epi_step: 196 	Epi_Time: 3.4310975074768066 	
Exp: obstacle_default	Episode: 121	Step: 30k	Slot Step: 30k	Reward: 0.88	Replay: 30475/50000 	Epsilon: 0.798865000000983 	Epi_step: 47 	Epi_Time: 0.6986768245697021 	
Exp: obstacle_default	Episode: 122	Step: 30k	Slot Step: 30k	Reward: 0.33	Replay: 30743/50000 	Epsilon: 0.7970962000009917 	Epi_step: 268 	Epi_Time: 7.1789045333862305 	
Exp: obstacle_default	Episode: 123	Step: 30k	Slot Step: 30k	Reward: 0.81	Replay: 30818/50000 	Epsilon: 0.7966012000009941 	Epi_step: 75 	Epi_Time: 1.1728284358978271 	
Exp: obstacle_default	Episode: 124	Step: 30k	Slot Step: 30k	Reward: 0.76	Replay: 30914/50000 	Epsilon: 0.7959676000009972 	Epi_step: 96 	Epi_Time: 1.3088746070861816 	
Exp: obstacle_default	Episode: 125	Step: 30k	Slot Step: 30k	Reward: 0.82	Replay: 30987/50000 	Epsilon: 0.7954858000009996 	Epi_step: 73 	Epi_Time: 0.9901425838470459 	
Exp: obstacle_default	Episode: 126	Step: 31k	Slot Step: 31k	Reward: 0.66	Replay: 31125/50000 	Epsilon: 0.794575000001004 	Epi_step: 138 	Epi_Time: 1.8921256065368652 	
Exp: obstacle_default	Episode: 127	Step: 31k	Slot Step: 31k	Reward: 0.17	Replay: 31457/50000 	Epsilon: 0.7923838000010147 	Epi_step: 332 	Epi_Time: 4.882633447647095 	
Exp: obstacle_default	Episode: 128	Step: 31k	Slot Step: 31k	Reward: 0.8	Replay: 31539/50000 	Epsilon: 0.7918426000010174 	Epi_step: 82 	Epi_Time: 1.2379872798919678 	
